N,M,NIST_pass_status_1,NIST_pass_status_2,NIST_pass_status_3,NIST_pass_status_4,NIST_pass_status_5,NIST_pass_status_6,NIST_pass_status_7,NIST_pass_status_8,NIST_pass_status_9,NIST_pass_status_10,NIST_pass_status_11,NIST_pass_status_12,NIST_pass_status_13,NIST_pass_status_14,NIST_pass_status_15,NIST_pass_rate,autocorr_pass_status,autocorr_coefficient,runs_pass_status,runs_p_value
14,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008691008691008691,0,3.667495176019461e-18
14,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009653009653009652,0,4.822099259037384e-22
14,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007945007945007946,0,0.0
14,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,40.0,1,0.010663010663010663,0,1.5440394651122437e-26
14,4,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.0075470075470075474,0,0.0
14,5,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009307009307009307,0,0.0
14,6,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.010055010055010055,0,0.0
14,7,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.010653010653010653,0,1.775355845719381e-26
14,8,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009407009407009406,0,5.490394876391542e-21
14,9,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009155009155009155,0,6.055267042269165e-20
14,10,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.009217009217009218,0,0.0
14,11,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010113010113010114,0,0.0
14,12,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.011101011101011101,0,1.291672884226058e-28
14,13,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008633008633008633,0,0.0
15,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008211008211008211,0,2.242209509167748e-16
15,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.007739007739007739,0,1.027572531497878e-14
15,2,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010287010287010286,0,0.0
15,3,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.0092010092010092,0,3.6634782350197824e-20
15,4,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.006903006903006903,0,5.718607912488327e-12
15,5,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,40.0,1,0.0104010104010104,0,2.7117607387323405e-25
15,6,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.00811900811900812,0,4.739467039360191e-16
15,7,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.01031101031101031,0,6.45614064767669e-25
15,8,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010653010653010653,0,0.0
15,9,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.007343007343007343,0,2.1282358202693807e-13
15,10,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,40.0,1,0.010165010165010166,0,2.87116295195155e-24
15,11,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008965008965008965,0,0.0
15,12,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.00908100908100908,0,1.0889197633158045e-19
15,13,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,40.0,1,0.009137009137009136,0,0.0
15,14,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010071010071010071,0,8.525817335919931e-24
